[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-3.05640135246 1.16166348987 -1.0 -1.0 -1.0 4877.67565359 41.2429146632 269.429208168
-2.99609224535 1.09466567876 -1.0 -1.0 -1.0 5850.98039216 52.343701639 221.135418418
-2.61985309507 0.875886342821 324.525181932 442.337681933 442.337681933 10390.62298 58.5900318845 1432.69795199
-2.61985309507 0.875886342821 324.525181932 442.337681933 442.337681933 10390.62298 68.8227378121 1432.69795199
-2.45929425271 1.34475963777 229.989458489 453.165264936 453.165264936 11021.25 46.6377111691 1177.65361805
-2.45929425271 1.34475963777 229.989458489 453.165264936 453.165264936 11021.25 56.9756368281 1177.65361805
-0.887958007395 1.97364929045 7.58819228993 16.6795094552 16.6795094552 4760.42692939 30.1118768545 150.368177532
-1.68292895069 1.27651826706 39.3259774161 76.1976795792 76.1976795792 4947.91666667 46.8022392665 330.216485879
-3.10489651883 0.968350138001 -1.0 -1.0 -1.0 6610.17647059 54.564076015 1329.56855595
-3.10489651883 0.968350138001 -1.0 -1.0 -1.0 6610.17647059 55.9649128673 1329.56855595
-3.15571469054 0.985805409823 -1.0 -1.0 -1.0 5888.70915033 53.468419702 797.986780656
-3.05361900912 0.710331706803 -1.0 -1.0 -1.0 5939.27392739 46.527791433 238.631999993
-3.24444531415 0.66002854751 -1.0 -1.0 -1.0 5253.52941176 44.452245736 238.631999993
-3.26164064217 0.632303117339 -1.0 -1.0 -1.0 5520.58823529 49.5720156331 368.188832454
-2.99079484478 1.06359122343 -1.0 -1.0 -1.0 6751.69934641 51.9443559273 213.430359927
-2.10794989591 0.814402887471 28.6276037198 57.649099957 57.649099957 6573.27586207 54.0692695592 333.634665432
-1.18528207386 1.22375157997 8.46064427627 17.3747122997 17.3747122997 6609.92647059 74.6270358317 243.673773024
-1.279047189 0.775042730094 6.84918146798 11.0046827885 11.0046827885 6843.87254902 48.1212610265 29.7813
-2.81589113904 1.65138584473 -1.0 -1.0 -1.0 7545.32271242 56.6528327309 668.988881793
-2.47573685858 0.981871547103 219.573211901 411.275162301 411.275162301 17216.4039409 64.8913881914 1063.6392594
-2.47573685858 0.981871547103 219.573211901 411.275162301 411.275162301 17216.4039409 85.1259402761 1063.6392594
-1.21540087904 1.13867686791 13.3222802683 25.2265865406 25.2265865406 11970.8538588 59.1948524024 260.564877157
-2.63882189442 1.07933048155 249.639847352 473.523012332 473.523012332 5644.88017429 55.6863244217 1290.12586346
-2.63882189442 1.07933048155 249.639847352 473.523012332 473.523012332 5644.88017429 58.4815559279 1290.12586346
-3.31298488084 0.658069215834 -1.0 -1.0 -1.0 6170.96609477 54.5379949109 1542.23903628
-3.31298488084 0.658069215834 -1.0 -1.0 -1.0 6170.96609477 55.8395413157 1542.23903628
-2.98861968161 1.25423537309 -1.0 -1.0 -1.0 7700.0 63.8869137348 97.2791090005
-2.9649492788 1.16265517042 -1.0 -1.0 -1.0 6982.35294118 43.5026256681 141.352890993
-3.39852454288 0.74247878615 -1.0 -1.0 -1.0 6611.76470588 38.6122193291 127.477676031
-3.22246208579 0.561700487037 -1.0 -1.0 -1.0 15659.9264706 55.9286064706 29.4521
-1.90643695284 1.00818577332 37.3578735773 78.366865911 78.366865911 4642.70833333 55.3543576485 402.789259054
-2.59286930361 1.52330606305 -1.0 -1.0 -1.0 25083.8235294 69.6396596806 611.755504805
-2.59286930361 1.52330606305 -1.0 -1.0 -1.0 25083.8235294 78.7257793742 611.755504805
-3.08290761974 0.892419737998 -1.0 -1.0 -1.0 8318.21895425 47.7868364832 214.953844075
-3.03652584308 0.865603214221 -1.0 -1.0 -1.0 6099.85294118 42.5538482479 176.622981258
-3.07536507108 0.835820755161 -1.0 -1.0 -1.0 5701.2254902 50.6596133745 177.835010824
-2.87363028211 1.29284359009 -1.0 -1.0 -1.0 22147.0588235 62.3629622684 391.331940789
-3.14756327691 1.01558506325 -1.0 -1.0 -1.0 13872.5490196 54.6751256725 0.0
-2.9562312866 0.98442400356 -1.0 -1.0 -1.0 3947.05882353 29.5298189182 74.8556268922
-3.15208351987 1.07820334692 -1.0 -1.0 -1.0 10035.5 58.1736728231 229.5290374
